Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1727311394,2,,Aggregated,0.000000,0.000000,0,1,1,1,1,1,1,1,1,1,1,18,18,0.3941840000152297,0.5511717222740723,0.3941840000152297,1.0709460000271065,0.0
1727311395,2,,Aggregated,0.000000,0.000000,0,1,1,1,1,1,1,1,1,1,1,27,27,0.3941840000152297,0.548841111148485,0.3941840000152297,1.0709460000271065,0.0
1727311396,2,,Aggregated,0.000000,0.000000,0,1,1,1,1,1,1,1,1,1,1,27,27,0.3941840000152297,0.548841111148485,0.3941840000152297,1.0709460000271065,0.0
1727311397,2,,Aggregated,9.000000,9.000000,0,1,1,1,1,1,1,1,1,1,1,36,36,0.3858730001411459,0.5430255833655591,0.3858730001411459,1.0709460000271065,0.0
1727311398,2,,Aggregated,9.000000,9.000000,0,1,1,1,1,1,1,1,1,1,1,36,36,0.3858730001411459,0.5430255833655591,0.3858730001411459,1.0709460000271065,0.0
1727311399,2,,Aggregated,6.750000,6.750000,0,1,1,1,1,1,1,1,1,1,1,45,45,0.3858730001411459,0.546976688908924,0.3858730001411459,1.0709460000271065,0.0
1727311400,2,,Aggregated,6.750000,6.750000,0,1,1,1,1,1,1,1,1,1,1,45,45,0.3858730001411459,0.546976688908924,0.3858730001411459,1.0709460000271065,0.0
1727311401,2,,Aggregated,6.428571,6.428571,0,0,1,1,1,1,1,1,1,1,1,63,63,0.3858730001411459,0.5401845714444905,0.3858730001411459,1.0709460000271065,0.0
1727311402,3,,Aggregated,6.428571,6.428571,0,1,1,1,1,1,1,1,1,1,1,72,72,0.3858730001411459,0.5438336805683421,0.3858730001411459,1.0709460000271065,0.0
1727311403,3,,Aggregated,5.625000,5.625000,0,1,1,1,1,1,1,1,1,1,1,81,81,0.3858730001411459,0.5428167407478247,0.3858730001411459,1.0709460000271065,0.0
1727311404,3,,Aggregated,5.625000,5.625000,0,1,1,1,1,1,1,1,1,1,1,81,81,0.3858730001411459,0.5428167407478247,0.3858730001411459,1.0709460000271065,0.0
1727311405,3,,Aggregated,7.200000,7.200000,0,1,1,1,1,1,1,1,1,1,1,99,99,0.3858730001411459,0.5413975858656076,0.3858730001411459,1.2051119999796356,0.0
1727311406,3,,Aggregated,7.200000,7.200000,0,1,1,1,1,1,1,1,1,1,1,99,99,0.3858730001411459,0.5413975858656076,0.3858730001411459,1.2051119999796356,0.0
1727311407,3,,Aggregated,6.300000,6.300000,0,1,1,1,1,1,1,1,1,1,1,108,108,0.3858730001411459,0.541684407418567,0.3858730001411459,1.2051119999796356,0.0
1727311408,3,,Aggregated,6.300000,6.300000,0,1,1,1,1,1,1,1,1,1,1,108,108,0.3858730001411459,0.541684407418567,0.3858730001411459,1.2051119999796356,0.0
1727311409,3,,Aggregated,7.200000,7.200000,0,0,1,1,1,1,1,1,1,1,1,135,135,0.3834980000192445,0.5349629703771455,0.3834980000192445,1.2051119999796356,0.0
1727311410,3,,Aggregated,7.200000,7.200000,0,0,1,1,1,1,1,1,1,1,1,135,135,0.3834980000192445,0.5349629703771455,0.3834980000192445,1.2051119999796356,0.0
1727311411,3,,Aggregated,7.200000,7.200000,0,0,1,1,1,1,1,1,1,1,1,135,135,0.3834980000192445,0.5349629703771455,0.3834980000192445,1.2051119999796356,0.0
1727311412,3,,Aggregated,9.000000,9.000000,0,1,1,1,1,1,1,1,1,1,1,144,144,0.3834980000192445,0.5409890555591169,0.3834980000192445,1.2051119999796356,0.0
1727311413,3,,Aggregated,9.000000,9.000000,0,1,1,1,1,1,1,1,1,1,1,162,162,0.3834980000192445,0.5362792407474702,0.3834980000192445,1.2051119999796356,0.0
1727311414,0,,Aggregated,8.100000,8.100000,0,0,1,1,1,1,1,1,1,1,1,171,171,0.3834980000192445,0.533771935677748,0.3834980000192445,1.2051119999796356,0.0
1727311415,0,,Aggregated,8.100000,8.100000,0,0,1,1,1,1,1,1,1,1,1,171,171,0.3834980000192445,0.533771935677748,0.3834980000192445,1.2051119999796356,0.0
1727311416,0,,Aggregated,8.100000,8.100000,0,0,1,1,1,1,1,1,1,1,1,171,171,0.3834980000192445,0.533771935677748,0.3834980000192445,1.2051119999796356,0.0
1727311417,0,,Aggregated,8.100000,8.100000,0,0,1,1,1,1,1,1,1,1,1,171,171,0.3834980000192445,0.533771935677748,0.3834980000192445,1.2051119999796356,0.0
1727311418,0,,Aggregated,8.100000,8.100000,0,0,1,1,1,1,1,1,1,1,1,171,171,0.3834980000192445,0.533771935677748,0.3834980000192445,1.2051119999796356,0.0
1727311419,0,,Aggregated,8.100000,8.100000,0,0,1,1,1,1,1,1,1,1,1,171,171,0.3834980000192445,0.533771935677748,0.3834980000192445,1.2051119999796356,0.0
1727311420,0,,Aggregated,8.100000,8.100000,0,0,1,1,1,1,1,1,1,1,1,171,171,0.3834980000192445,0.533771935677748,0.3834980000192445,1.2051119999796356,0.0
1727311421,0,,Aggregated,8.100000,8.100000,0,0,1,1,1,1,1,1,1,1,1,171,171,0.3834980000192445,0.533771935677748,0.3834980000192445,1.2051119999796356,0.0
1727311422,0,,Aggregated,8.100000,8.100000,0,0,1,1,1,1,1,1,1,1,1,171,171,0.3834980000192445,0.533771935677748,0.3834980000192445,1.2051119999796356,0.0
1727311423,0,,Aggregated,8.100000,8.100000,0,0,1,1,1,1,1,1,1,1,1,171,171,0.3834980000192445,0.533771935677748,0.3834980000192445,1.2051119999796356,0.0
1727311424,0,,Aggregated,8.100000,8.100000,0,0,1,1,1,1,1,1,1,1,1,171,171,0.3834980000192445,0.533771935677748,0.3834980000192445,1.2051119999796356,0.0
1727311425,0,,Aggregated,8.100000,8.100000,0,0,1,1,1,1,1,1,1,1,1,171,171,0.3834980000192445,0.533771935677748,0.3834980000192445,1.2051119999796356,0.0
1727311426,0,,Aggregated,8.100000,8.100000,0,0,1,1,1,1,1,1,1,1,1,171,171,0.3834980000192445,0.533771935677748,0.3834980000192445,1.2051119999796356,0.0
1727311427,0,,Aggregated,8.100000,8.100000,0,0,1,1,1,1,1,1,1,1,1,171,171,0.3834980000192445,0.533771935677748,0.3834980000192445,1.2051119999796356,0.0
